id,Headline,Date,Year,Newspaper,sentiment_label,sentiment_score
1242,'Cocaïne bij politie niet hard te maken'; Politiebaas reageert,2025-01-22,2025,De Telegraaf,NEG,-0.7195233022698441
1243,'Code rood' voor taxibranche hoofdstad,2021-12-08,2021,de Volkskrant,NEG,-0.7599992231793568
1244,'Coffeeshop niet dicht voor toerist',2021-01-09,2021,AD/Algemeen Dagblad,POS,0.6777300275381712
1245,'Cokekiller' komt vrij,2015-04-21,2015,De Telegraaf,NEG,-0.8088500359634978
1246,'Cokekoning van Antwerpse haven'; Wie is voortvluchtige verdachte Bolle Jos?,2022-05-03,2022,De Telegraaf,NEG,-0.8496648732967806
1247,'Cokemiljoenen gewit via geldpandjes Suri-Change',2023-03-31,2023,AD/Algemeen Dagblad,NEG,-0.8330124555080898
1248,'Cokesmokkel verspreidt zich als schot hagel over Europa',2025-07-04,2025,AD/Algemeen Dagblad,NEU,-0.18689794582902272
1249,'Cokesnuivende' advocaat Van den E. weer opgepakt,2017-07-31,2017,AD/Algemeen Dagblad,NEG,-0.8193739062898033
1250,'Colombiaanse moordbureaus'; Maffiabaas Raffaele Imperiale getuigt tegen Taghi en Rico de Chileen:,2024-06-08,2024,De Telegraaf,NEG,-0.3317547286143298
1251,'Comedy kan prima zonder schelden en grove grappen',2022-09-10,2022,AD/Algemeen Dagblad,POS,0.5692340368078259
1252,'Commando bij Mocro-maffia'; Elitemilitair (42) verdacht van drugs- en wapenhandel,2022-02-11,2022,De Telegraaf,NEG,-0.781066370112447
1253,'Commerciële coronatests horen in de RIVM-cijfers',2020-11-23,2020,De Telegraaf,NEG,-0.8402606040179225
1254,'Complete crisis'; Noren zijn de schandalen rond hun eens zo stabiele koningshuis beu,2024-11-23,2024,De Telegraaf,NEG,-0.91242713857464
1255,'Conclusie verraad Anne Frank door Joodse notaris is wat te hitsig',2022-01-18,2022,AD/Algemeen Dagblad,NEG,-0.8249567064359686
1256,'Confronteer drugsgebruiker',2023-10-12,2023,De Telegraaf,NEG,-0.2693227784625317
1257,'Controle vaping kwijt',2025-08-07,2025,De Telegraaf,NEG,-0.7198167737098073
1258,'Controlefreak én dromer'; Mijn favorieten,2015-04-18,2015,De Telegraaf,NEG,-0.584486387999615
1259,'Copenhagen Cowboy' is een lege én bedwelmende viering van het idee dat stijl inhoud is. â˜…â˜…â˜…â˜…â˜†,2023-01-05,2023,de Volkskrant,NEU,-0.18174784798936702
1260,'Cornelis Vreeswijk even geliefd als ABBA'; Albin Lee Meldau komt met eerbetoon,2024-12-04,2024,De Telegraaf,NEG,-0.6890310982802835
1261,'Corona onthult hoe de Wallen zijn verknoeid'; OPINIE Overleg binnenstadbewoners Amsterdam,2020-05-08,2020,De Telegraaf,NEG,-0.6974015682680664
1262,'Corrupte agent'wordt koerier; Hechtenis politieman geschorst,2020-08-28,2020,De Telegraaf,NEG,-0.49986507995035095
1263,'Corruptie kraakt vertrouwen'; Hoogleraar en politie-expert Fijnaut:,2020-09-19,2020,De Telegraaf,NEG,-0.8771320265896857
1264,'Cosby-drug doodde  Hendrix  en Presley',2015-07-08,2015,De Telegraaf,NEG,-0.9859847479982325
1265,"'Creatieve' Luca (19) zat vol dromen, tot hij pilletje kocht",2025-11-18,2025,De Telegraaf,NEG,-0.7282585028323473
1266,"'Criminaliteit stopt niet bij de grens'; Nederlandse politie traint agenten in Mali, dat betekent lessen geven onder dreiging van aanslagen",2025-11-22,2025,De Telegraaf,NEG,-0.6353404490418031
1267,'Crimineel' cadeau voor studenten,2024-12-19,2024,De Telegraaf,POS,0.6489649720695732
1268,'Crimineel in Spanje vermoord',2018-10-30,2018,AD/Algemeen Dagblad,NEG,-0.9261306945776439
1269,"'Crimineel is hier zo grens over, de politie niet'",2024-06-14,2024,AD/Algemeen Dagblad,NEG,-0.6095988600795443
1270,'Crimineel laat afval lopen'; LFO: Drugs gedumpt in riool en oppervlaktewater of via rijdende trucks,2015-12-03,2015,De Telegraaf,NEG,-0.3847963939870517
1271,'Crimineel past zich snel aan'; Unieke internationale coke-conferentie in Amsterdam,2025-03-27,2025,De Telegraaf,NEU,-0.09353467972511197
1272,'Criminele kweekvijver'; Justitie: Limburgse Bandidos leidt eigen jeugd op in zusterclub,2016-01-11,2016,De Telegraaf,NEG,-0.46439104454957814
1273,'Criminelen azen nog steeds op Hermenzeil',2018-09-15,2018,AD/Algemeen Dagblad,NEU,0.04340009618088478
1274,'Criminelen belden zelf alarmnummer'; Reeks ernstige geweldsincidenten in Breda,2021-07-06,2021,De Telegraaf,NEG,-0.6224846331289403
1275,'Criminelen blijven gewoon wiet exporteren',2016-09-24,2016,AD/Algemeen Dagblad,POS,0.9642711905544937
1276,'Criminelen gaan in cel met oude gedrag door',2018-12-18,2018,de Volkskrant,NEG,-0.8193008097033154
1277,'Criminelen kunnen door corona meer witwassen',2021-03-02,2021,de Volkskrant,POS,0.6062430673317656
1278,'Criminelen laten altijd sporen na'; Een speciaal getraind politieteam jaagt op voortvluchtigen,2024-03-23,2024,De Telegraaf,POS,0.2717707062343522
1279,'Criminelen spreken over een wietcrisis',2016-05-24,2016,AD/Algemeen Dagblad,NEG,-0.4781163642174557
1280,"'Crisis of niet, criminelen gaan onverdroten door'",2020-04-28,2020,AD/Algemeen Dagblad,NEG,-0.4289632559047906
1281,'Culturele Wallen laat creatief stadshart kloppen',2024-09-10,2024,De Telegraaf,NEU,-0.1722759199762355
1282,"'Daar gaan we weer', denken ze in het ziekenhuis",2021-10-18,2021,AD/Algemeen Dagblad,NEG,-0.7821021255399669
1283,'Dader heeft straks geen tijd meer om te vluchten',2023-09-06,2023,AD/Algemeen Dagblad,NEG,-0.5748713733443386
1284,'Daders' liquidatiezaak genoemd,2019-05-22,2019,AD/Algemeen Dagblad,NEG,-0.967357805831046
1285,'Daders hebben lak aan hun onschuldige slachtoffers',2022-02-22,2022,De Telegraaf,NEG,-0.8928789413106281
1286,'Daders worden niet geboren maar gemaakt'; Experts: probleem van geweld door jongeren ligt voor een deel bij lankmoedige houding ouders,2021-09-18,2021,De Telegraaf,NEG,-0.7482012853413329
1287,'Dagobert leek in geld te zwemmen'; Doelwit explosies Rotterdam zelf opgepakt,2024-03-28,2024,De Telegraaf,NEG,-0.5732993461509388
1288,'Dak repareren als het niet regent'; Korpschef Henk van Essen slaat alarm: meer geld én mensen nodig om burger te kunnen blijven beschermen,2021-06-26,2021,De Telegraaf,NEG,-0.7152043461925264
1289,'Daltons' wanen zich als God in Frankrijk,2021-11-12,2021,AD/Algemeen Dagblad,NEG,-0.7022381294039485
1290,'Dan breekt mijn hart',2021-08-21,2021,AD/Algemeen Dagblad,NEG,-0.5883044145679371
1291,'Dance Valley is magisch',2015-08-01,2015,AD/Algemeen Dagblad,NEU,-0.02864960224833333
1292,'Dank je' zeggen is voor homo's,2019-02-21,2019,de Volkskrant,NEG,-0.5201562854981319
1293,'Dankzij de dijk is de polder schoon',2022-06-22,2022,de Volkskrant,NEG,-0.8580405448289926
1294,'Dankzij mijn pruik kom ik overal mee weg',2024-08-26,2024,De Telegraaf,NEG,-0.6971869853606882
1295,'Dankzij New Kids heb ik mijn schulden kunnen afbetalen',2022-11-28,2022,AD/Algemeen Dagblad,POS,0.2538207988275867
1296,'Dankzij ons konden ouders afscheid nemen van hun kind',2024-09-02,2024,de Volkskrant,NEG,-0.9358799504604574
1297,'Dark web biedt weinig voor hacker',2020-10-28,2020,de Volkskrant,NEG,-0.9144880434479418
1298,'Darkweb is soort Marktplaats',2022-10-12,2022,De Telegraaf,NEU,0.03218269206165764
1299,'Dascha kreeg in club ruzie met vriendin',2015-12-12,2015,AD/Algemeen Dagblad,NEG,-0.7952063578085795
1300,"'Dascha was dronken, café moet dat gezien hebben'",2015-12-09,2015,AD/Algemeen Dagblad,NEG,-0.7071183280952565
1301,"'Dascha was dronken, café moet dat gezien hebben'",2015-12-09,2015,AD/Algemeen Dagblad,NEG,-0.6848044767794668
1302,'Dat dit gebeurt is heel extreem'; Explosie in Huizen dreunt na bij bevolking,2022-07-12,2022,De Telegraaf,NEG,-0.7944281756081497
1303,"'Dat er iemand in een kamer naast me slaapt, dat voelt veilig'",2021-07-12,2021,de Volkskrant,POS,0.38408358532598647
1304,'Dat fluiten vond ik belachelijk'; Scorpions groeiden in 60 jaar uit tot iconen van rock-'n-roll met de hit 'Wind of change',2025-12-09,2025,De Telegraaf,POS,0.5768584609449965
1305,"'Dat ik genezen ben, is een kwestie van geluk'",2017-01-17,2017,AD/Algemeen Dagblad,NEU,0.030033688483691423
1306,'Dat ik heb bekend is fake news',2017-05-26,2017,AD/Algemeen Dagblad,POS,0.9777229509979601
1307,"'Dat ik leef in welvaart, voelt soms ongemakkelijk'",2024-01-13,2024,AD/Algemeen Dagblad,NEU,0.1615941606007155
1308,"'Dat kansen zo ongelijk zijn verdeeld, daar schrik ik van'",2019-05-08,2019,AD/Algemeen Dagblad,NEG,-0.8497769834799827
1309,'Dat oergevoel verdwijnt nooit',2020-05-25,2020,AD/Algemeen Dagblad,NEU,-0.14746781273727388
1310,'Dat pesten heeft me gevormd',2025-07-05,2025,AD/Algemeen Dagblad,POS,0.8517468544019339
1311,'Dat strenge zit in mijn genen',2017-01-07,2017,AD/Algemeen Dagblad,POS,0.31274517309220745
1312,'Dat wordt wat als straks het WK in Qatar begint',2016-06-13,2016,De Telegraaf,NEG,-0.9412255424253418
1313,'De aanslagplegers zijn verkeerd geïnformeerd',2022-02-24,2022,AD/Algemeen Dagblad,NEG,-0.9478475539930497
1314,"'De agent was een engel, ik wilde hem bedanken'",2025-11-17,2025,de Volkskrant,NEU,0.1681220582406062
1315,'De beste tip: Poets nooit je tanden!',2024-12-19,2024,AD/Algemeen Dagblad,NEG,-0.8975509660691846
1316,'De bezem door stelsel toelaten geneesmiddel',2020-09-16,2020,AD/Algemeen Dagblad,NEG,-0.4567507412641984
1317,'De Bijlmer heeft me voorbereid op het leven',2024-12-24,2024,AD/Algemeen Dagblad,POS,0.5421461040189351
1318,'De Boléro werkt als een soort drug',2024-05-01,2024,AD/Algemeen Dagblad,NEG,-0.5413925214135507
1319,'De boom in!' met De Kleine Komedie; Iedere dag een 'cadeautje' op YouTube,2021-12-22,2021,De Telegraaf,POS,0.4755167838970454
1320,'De cel of de dood'; Situatie zwarte jongeren leidt tot veel onderling geweld,2021-05-08,2021,De Telegraaf,NEG,-0.5864875081611547
1321,'De Chinese katholieken gaan in de uitverkoop',2018-03-27,2018,de Volkskrant,NEG,-0.8456372187371652
1322,'De coke werd op maat gemaakt voor mijn keel',2018-04-27,2018,AD/Algemeen Dagblad,NEG,-0.9524534485233342
1323,'De competitie is enorm'; Streamingdienst HBO Max trapt af met klassiekers,2022-03-08,2022,De Telegraaf,NEU,0.19575650067508474
1324,'De cultuur bij ING is nog steeds niet goed',2020-09-26,2020,AD/Algemeen Dagblad,NEG,-0.3353644248931092
1325,'De dag dat de muziek stierf'; Don McLean: geen makkelijk liedje,2022-10-07,2022,De Telegraaf,NEG,-0.6988816027317363
1326,'De dood wordt al genoeg gehaat',2015-01-22,2015,de Volkskrant,NEG,-0.7680312706959425
1327,'De druk op justitie om te vervolgen wordt nu groter',2018-02-02,2018,de Volkskrant,NEG,-0.7116328642690943
1328,'De duivel regeert hier opnieuw',2025-08-13,2025,de Volkskrant,NEG,-0.9151654694795789
1329,'De echte helden zijn mijn collega's'; Hoofdcommissaris Frank Paauw neemt afscheid van de politie en blikt terug op zijn veelbewogen loopbaan,2024-09-11,2024,De Telegraaf,NEG,-0.6891428102147387
1330,'De eerste keer in weet ik hoeveel jaar dat ik rechtstreeks met Taghi contact had',2024-03-06,2024,AD/Algemeen Dagblad,NEG,-0.4713118527597212
1331,'De elfde keer ga ik voor de bijl',2025-02-08,2025,AD/Algemeen Dagblad,NEG,-0.20433604119613635
1332,'De explosies vonden vermoedelijk plaats in de kelder',2024-12-10,2024,de Volkskrant,NEG,-0.7798957762343862
1333,'De familie van Ivana Smit wil dat heel de wereld ons aanvalt',2019-05-31,2019,AD/Algemeen Dagblad,NEG,-0.9355483086480446
1334,'De favela heeft me gemaakt tot wie ik nu ben',2021-09-27,2021,AD/Algemeen Dagblad,NEG,-0.9356253150439622
1335,'De FIFA wil dit onder het tapijt vegen',2015-10-31,2015,AD/Algemeen Dagblad,NEG,-0.6618317571816091
1336,"'De gewone dingen, die maken het eng'",2024-01-20,2024,de Volkskrant,POS,0.44890808746100375
1337,'De goeden lijden onder de kwaden',2016-12-02,2016,AD/Algemeen Dagblad,NEG,-0.9376266731073399
1338,'De gouden tand heb ik voor het mooie',2022-06-18,2022,AD/Algemeen Dagblad,POS,0.45977313385694074
1339,'De haven is nog altijd 100 kilometer lang',2015-09-05,2015,AD/Algemeen Dagblad,NEU,0.005105508869940799
1340,'De heftigste verhalen liggen in de kluis',2022-07-12,2022,AD/Algemeen Dagblad,NEG,-0.5378852525660729
1341,'De hogepriester van het wielrennen',2017-04-01,2017,AD/Algemeen Dagblad,POS,0.21725494152006142
1342,"'De hypocrisie, die stoort me het meest'",2017-01-28,2017,AD/Algemeen Dagblad,NEU,0.06143793918264395
1343,'De instelling wordt als dader gezien. Maar er is maar één dader: Michael P.',2019-07-09,2019,de Volkskrant,NEG,-0.9791555002843247
1344,'De Jonge lobbyt in Den Haag voor anticonceptie',2016-10-20,2016,AD/Algemeen Dagblad,NEG,-0.8269086995405469
1345,"'De kiezen op elkaar, het beest staat voor de poort'",2020-04-25,2020,de Volkskrant,NEG,-0.40584594640366095
1346,'De Kijvelanden is een kruitvat',2017-02-08,2017,AD/Algemeen Dagblad,NEG,-0.83578600220359
1347,"'De kogels die jou raakten, voel ik'; Hof vertoont gruwelijk bewakingsbeeld van dood Hümeyra",2021-05-27,2021,De Telegraaf,NEG,-0.8939844022907615
1348,"'De kust is veilig', mopperde de chauffeur van de bus in Manchester",2016-09-14,2016,AD/Algemeen Dagblad,NEG,-0.31815462982560594
1349,'De lustpil doet  nagenoeg niets'; Seksuologen betreuren goedkeuring 'vrouwenviagra',2015-08-20,2015,De Telegraaf,NEG,-0.9826675969324117
1350,'De man uit Rome' toont op fraaie wijze de frustratie en onmacht van een gemeenschap die ooit floreerde. â˜…â˜…â˜…â˜†â˜†,2023-04-06,2023,de Volkskrant,NEG,-0.8696702115864001
1351,'De Marokkanen nemen in dit buurthuis de boel over',2019-07-18,2019,AD/Algemeen Dagblad,POS,0.250392452966134
1352,'De media proberen Trump te slopen',2016-10-20,2016,AD/Algemeen Dagblad,NEG,-0.5543031943711377
1353,'De mensen vinden toch wel een weg',2017-01-30,2017,AD/Algemeen Dagblad,NEG,-0.6661672502105213
1354,'De mensen zijn gek',2017-12-05,2017,AD/Algemeen Dagblad,NEG,-0.6958885000843965
1355,'De minister is hier welkom om geïnspireerd te raken',2022-01-29,2022,AD/Algemeen Dagblad,POS,0.8961946025033752
1356,'De minister is hier welkom om geïnspireerd te raken',2022-01-29,2022,AD/Algemeen Dagblad,POS,0.8961946025033752
1357,'De missie was van begin af kansloos',2016-07-01,2016,AD/Algemeen Dagblad,NEG,-0.8390758617201247
1358,'De mooiste muziek is al geschreven'; Mart Hoogkamer kijkt uit naar reeks intieme concerten 'Met een lach en een traan',2022-09-24,2022,De Telegraaf,POS,0.3432106121477525
1359,'De muizen zaten onder het plafond'; Huurster vertrekt na twaalf jaar met progressieve reuma uit woonkrot,2020-11-05,2020,De Telegraaf,NEG,-0.783331632143388
1360,'De natuur is de moeder'; Kunstenaar herman de vries (83) vertegenwoordigt ons land op Biënnale van Venetië,2015-04-22,2015,De Telegraaf,POS,0.8030872869006114
1361,'De onrust die ik voel levert heel veel op',2021-05-08,2021,de Volkskrant,NEG,-0.9147453237060512
1362,'De onzekerheid vond ik het ergste',2025-07-05,2025,De Telegraaf,NEU,0.014644968525881577
1363,"'De oude, witte mannen in Hilversum moeten gewoon weg'",2023-07-22,2023,de Volkskrant,NEG,-0.9171343672767609
1364,"'De paniek was enorm'; Buurtbarbecue die fataal afliep, veranderde de inwoners van Zuidzijde: 'De onbezorgde tijd is weg'",2023-08-26,2023,De Telegraaf,NEG,-0.3520553494628948
1365,'De parel' van Marine Le Pen,2022-11-08,2022,de Volkskrant,NEG,-0.4303752676800338
1366,'De paus is een enorme knuffelbeer',2015-11-07,2015,AD/Algemeen Dagblad,POS,0.8020124879538306
1367,'De pijn en de angst herinner ik me nog steeds',2023-10-25,2023,AD/Algemeen Dagblad,NEG,-0.8818756024027756
1368,'De politie heeft mijn zaak verkloot',2020-02-12,2020,AD/Algemeen Dagblad,NEG,-0.9185068705156793
1369,'De politie komt toch niet'; Nachtleven Nantes in actie tegen agressieve illegalen,2022-03-19,2022,De Telegraaf,NEG,-0.8233296356365736
1370,"'De Promes die ik ken, kennen jullie niet'",2024-03-20,2024,De Telegraaf,NEG,-0.9548922459014562
1371,'De realiteit is vaak heftiger dan de fantasie',2021-06-05,2021,AD/Algemeen Dagblad,NEG,-0.9361001365424776
1372,'De regering weet waar mijn zoon is',2015-09-28,2015,de Volkskrant,NEG,-0.6997799290144437
1373,"'De Rolling Stones staan er ook nog, hè'",2023-10-09,2023,AD/Algemeen Dagblad,NEG,-0.22352385621780974
1374,"'De Smits geloven ons niet, al zouden ze opnames zien'",2019-06-01,2019,AD/Algemeen Dagblad,NEG,-0.6566417062135691
1375,'De stad heeft mij nodig',2017-06-03,2017,de Volkskrant,NEG,-0.36936758077683457
1376,'De sterfscène had voor mij iets troostends',2023-12-30,2023,AD/Algemeen Dagblad,NEU,-0.15955753272461182
1377,'De sterfscène had voor mij iets troostends',2023-12-30,2023,AD/Algemeen Dagblad,NEU,-0.15955753272461182
1378,'De timing kon niet beter'; Satirische serie 'Cast' over alle heikele punten van deze tijd,2023-03-16,2023,De Telegraaf,NEG,-0.748366415844823
1379,"'De TT is verslavend, een levenservaring'",2015-06-27,2015,AD/Algemeen Dagblad,POS,0.23168517527260632
1380,'De universiteiten in Israël zetten zichzelf buitenspel',2025-07-25,2025,de Volkskrant,NEG,-0.81989686698504
1381,'De Van Gogh werd gewoon te heet'; Detective Arthur Brand belandde in een ware thriller bij zoektocht naar meesterwerk,2023-09-13,2023,De Telegraaf,NEG,-0.451666878122757
1382,'De vernieling van ons verleden'; Landen in het Midden-Oosten strijden om geroofde schatten uit de oudheid terug te krijgen,2022-06-11,2022,De Telegraaf,NEG,-0.7877315553397324
1383,'De wereld bestaat uit eikels',2015-01-24,2015,de Volkskrant,NEU,-0.011676707290621237
1384,'De wereld kan weer wat Woodstock gebruiken',2019-01-26,2019,AD/Algemeen Dagblad,POS,0.2167163683168025
1385,'De werkelijkheid was nog heftiger'; Verhaal Marco Kroon en zijn vrouw Mirjam verfilmd,2023-09-13,2023,De Telegraaf,NEG,-0.8875995872620613
1386,'De wijkagent moet ook een webagent zijn',2017-03-03,2017,de Volkskrant,NEG,-0.4581683039169875
1387,'De wijkagenten moeten terug in de haarvaten van de samenleving',2024-05-22,2024,de Volkskrant,NEG,-0.7743012764476114
1388,'De winkeldieven en het huiselijk geweld blijven',2020-03-23,2020,AD/Algemeen Dagblad,NEG,-0.8143242946236398
1389,'Deal Joran voor bekentenis'; Schikking op tafel in zaak-Holloway,2023-08-05,2023,De Telegraaf,NEG,-0.28468160326804937
1390,'Deals met criminelen? Levensgevaarlijk!',2015-06-01,2015,AD/Algemeen Dagblad,NEG,-0.4518040697548823
1391,'Deel informatie over explosies',2023-11-02,2023,De Telegraaf,NEG,-0.7722059827677363
1392,'Deelnemers balen enorm van de verplichte cursus',2023-03-08,2023,AD/Algemeen Dagblad,NEG,-0.4930678457513122
1393,'Defensie zet veteranen met de rug tegen de muur',2019-05-14,2019,AD/Algemeen Dagblad,NEG,-0.9164060303821334
1394,'Dertig jaar lang ben ik vreselijk verguisd'; Yvonne Keuls stelde seksueel misbruik van kinderen aan de kaak en viel in ongenade,2020-09-26,2020,De Telegraaf,NEG,-0.8558771218897454
1395,'Derya had geen geld voor huis',2017-08-08,2017,AD/Algemeen Dagblad,NEG,-0.45555026037716334
1396,'Deze geheime politieactie kent eigenlijk alleen maar verliezers',2021-11-17,2021,AD/Algemeen Dagblad,NEG,-0.7677114983732509
1397,'Deze indiaan krijgen ze nooit te pakken',2015-11-26,2015,De Telegraaf,NEU,-0.09293431880645582
1398,'Deze jongens zijn volstrekt onaangepast',2016-09-24,2016,AD/Algemeen Dagblad,NEG,-0.20144440258151353
1399,'Deze kerk zoekt altijd mensen in nood',2020-11-09,2020,de Volkskrant,NEG,-0.7732586868420912
1400,'Deze nieuwe generatie criminelen is grenzeloos',2019-11-26,2019,de Volkskrant,NEG,-0.7433008235981432
1401,'Deze scoop had ik zélf gewild',2023-09-18,2023,AD/Algemeen Dagblad,NEU,-0.047203217169716136
1402,'Deze serie maken is een marathon op sprintsnelheid',2022-01-28,2022,AD/Algemeen Dagblad,NEG,-0.7703980458667004
1403,"'Die aanmoedigingen, daar doe je het voor'",2022-07-21,2022,de Volkskrant,NEU,0.08996186101013129
1404,'Die afpak-klaagzang maakt me kriebelig',2020-12-28,2020,AD/Algemeen Dagblad,NEG,-0.9718612977653506
1405,'Die collega's maakten me uit voor hoer en drugsverslaafde',2024-04-10,2024,AD/Algemeen Dagblad,NEG,-0.8413430272198476
1406,"'Die ene kans, die moet je grijpen'",2016-03-19,2016,de Volkskrant,NEG,-0.7947302566752171
1407,'Die ene klap heeft alles veranderd',2023-07-15,2023,De Telegraaf,NEG,-0.37422002092999507
1408,'Die ene kogel heeft ook mij gedood'; Moeder Gitte emotioneel gebroken en vol onbegrip na liquidatie op haar zoon Tom van der Burg,2015-08-01,2015,De Telegraaf,NEG,-0.45973741233810345
1409,'Die hypocrisie is een rechtsstaat onwaardig',2017-02-22,2017,de Volkskrant,POS,0.5726345229292721
1410,"'Die knuffels heb ik nodig, ze zijn een soort drug'",2021-04-24,2021,AD/Algemeen Dagblad,POS,0.2179635828924645
1411,'Die muur vermoordt onze business',2017-03-22,2017,AD/Algemeen Dagblad,NEG,-0.8217539779131937
1412,'Die snoepzak MOET leeg',2022-09-24,2022,De Telegraaf,NEG,-0.5338401858183246
1413,'Die snuivende zanger maakt drugsgebruik doodnormaal',2023-01-23,2023,AD/Algemeen Dagblad,NEG,-0.978197274713757
1414,'Diefstal schilderijen in verband met elkaar',2020-08-28,2020,De Telegraaf,NEG,-0.3618817977371745
1415,"'Diego was de allerbeste, geen discussie mogelijk'",2025-11-25,2025,AD/Algemeen Dagblad,NEU,0.08985880034866403
1416,'Dikke' lang ongrijpbaar,2021-11-06,2021,De Telegraaf,NEG,-0.4776546748295393
1417,'Dino Soerel krijgt  geen eerlijk proces',2015-06-12,2015,De Telegraaf,NEG,-0.9545497381482599
1418,'Directie wel betrokken bij drugs'; Verdediging wil eigenaar William de Groot van fruitbedrijf uit Hedel als getuige horen,2021-06-23,2021,De Telegraaf,NEG,-0.9045547440143635
1419,"'Dirty Monkou' grote meneer in Engeland; REPORTAGE Alom geliefde oud-verdediger maakte naam bij Chelsea, maar ook als verbinder en ambassadeur",2025-12-27,2025,De Telegraaf,POS,0.6425646336442314
1420,"'Discipline is net als met spruitjes'; Op Curaçao drillen Nederlandse militairen met succes probleemjongeren, werkt dat ook in ons land?",2023-06-19,2023,De Telegraaf,NEG,-0.5225297461046697
1421,'Dit doe je vanuit het hart',2017-05-31,2017,AD/Algemeen Dagblad,NEG,-0.20783337574834185
1422,'Dit doe je vanuit je hart,2017-05-31,2017,AD/Algemeen Dagblad,NEG,-0.20783337574834185
1423,'Dit geeft heel veel extra werk'; Hackers drongen systemen Justitie binnen,2025-07-24,2025,De Telegraaf,NEG,-0.7543551114514615
1424,'Dit getuigt van zo'n wreedheid',2015-06-10,2015,de Volkskrant,NEG,-0.7655547132456613
1425,'Dit had ik nooit achter Jelle gezocht',2018-08-06,2018,AD/Algemeen Dagblad,NEG,-0.29135543919735096
1426,"'Dit heeft niets meer met natuur te maken'; Zeeuwse Hedwigepolder gestript, gesloopt en straks vergiftigd?",2022-05-21,2022,De Telegraaf,NEG,-0.9903624841479606
1427,'Dit is een gevecht van alle landen'; Groot offensief tegen drugshandel,2022-06-27,2022,De Telegraaf,NEU,-0.19999571429444454
1428,"'Dit is één grote tragedie'; Telegraaf-misdaadverslaggever John van den Heuvel is trots, maar voelt mee met nabestaanden",2023-10-20,2023,De Telegraaf,NEG,-0.3920262100721165
1429,'Dit is erger dan drugs'; Rotterdamse wijk geschokt na inval woning terreurverdachte,2024-04-03,2024,De Telegraaf,NEG,-0.7517574497867058
1430,"'Dit is geen act, dit is chemie'",2020-01-27,2020,AD/Algemeen Dagblad,POS,0.4419910342477816
1431,'Dit is geen volksfeest meer',2019-01-04,2019,AD/Algemeen Dagblad,NEG,-0.8890531045339305
1432,'Dit is Guantánamo op zijn Frans',2016-02-26,2016,de Volkskrant,NEG,-0.7508485564512001
1433,'Dit is handel in menselijke ellende',2025-11-18,2025,de Volkskrant,NEG,-0.6342696133499459
1434,'Dit is het drugswalhalla van Europa',2019-10-19,2019,de Volkskrant,NEU,0.13338042838501551
1435,'Dit is het meest verziekte proces ooit',2021-09-15,2021,de Volkskrant,NEG,-0.988907128172752
1436,'Dit is Hollands Bad boys'; Regisseurs willen statement maken,2024-02-01,2024,De Telegraaf,NEU,-0.14779078586937944
1437,'Dit is inhumaner dan de doodstraf',2015-11-11,2015,AD/Algemeen Dagblad,NEG,-0.6787102147661748
1438,'Dit is ons ultieme geluk',2024-08-10,2024,AD/Algemeen Dagblad,POS,0.9836890989880287
1439,'Dit is ons werk: het aanpakken van gewetenloos geweld',2023-05-13,2023,AD/Algemeen Dagblad,NEG,-0.9515108487012289
1440,'Dit is onze Bataclan',2018-01-29,2018,AD/Algemeen Dagblad,NEG,-0.34207137160164747
1441,'Dit is precies wat ik haat'; CDA'er Diederik Boomsma voor de allereerste keer op ADE,2022-10-21,2022,De Telegraaf,POS,0.4870767004915735
1442,'Dit is pure pesterij',2018-11-14,2018,AD/Algemeen Dagblad,NEG,-0.984411256795845
1443,'Dit is terug naar de steentijd',2019-08-30,2019,de Volkskrant,NEU,-0.17488774995475082
1444,'Dit is ultieme droom van een pizzakoerier'; OM eist drie maanden cel tegen aanrandsters 17-jarige,2021-10-20,2021,De Telegraaf,NEG,-0.9147250445010598
1445,'Dit jaar al 354 executies in Iran',2023-07-04,2023,AD/Algemeen Dagblad,NEG,-0.7657585567029632
1446,'Dit kennen we niet in Twente',2018-11-15,2018,de Volkskrant,NEG,-0.506833663417043
1447,'Dit kun je niet beoordelen naar de Nederlandse maatstaven',2019-08-16,2019,de Volkskrant,NEG,-0.9078251351375206
1448,'Dit lied is voor oma',2017-08-15,2017,AD/Algemeen Dagblad,NEG,-0.7460032750908377
1449,'Dit moet devetste showooit worden',2025-03-29,2025,AD/Algemeen Dagblad,NEG,-0.2975199920222445
1450,'Dit moet georkestreerd zijn geweest',2016-01-12,2016,de Volkskrant,NEG,-0.6533428113350487
1451,'Dit moet het moment van de waarheid zijn',2018-08-07,2018,AD/Algemeen Dagblad,NEG,-0.9833964261753866
1452,'Dit moet mijn jaar worden',2018-10-30,2018,AD/Algemeen Dagblad,POS,0.6028089083508491
1453,'Dit moet wel een vergissing zijn',2022-07-30,2022,De Telegraaf,NEG,-0.7732908616893258
1454,'Dit proces wakkert onze liefde weer aan',2025-03-11,2025,AD/Algemeen Dagblad,NEG,-0.8801781535539063
1455,'Dit rapport kun je niet in een la leggen',2023-12-11,2023,AD/Algemeen Dagblad,NEG,-0.9334985048552824
1456,"'Dit regime zegt: wie niet stemt, zal niet eten'",2020-12-05,2020,de Volkskrant,NEG,-0.6054040661972746
